"SiteURL","PageURL","IsSubsite","Error","LinkFound","LinkReplaced"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/For-IT-employees.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/How-to-report-an-incident.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/What-you-need-to-do-as-an-employee.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Email-footer.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/For-Managers.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Who-is-your-local-DPR.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Data-mapping.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Data-Subject-Access-Request.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Privacy-in-Projects.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/GDPR-Material.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/How-to-manage-data-requests.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/How-to-manage-images-and-film.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Receptions.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Data-Privacy-Governance.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/GDPR-for-Blue-collar-workers.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Speak-up!.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Corporate-Governance-Policies.aspx","No","","False","False"
"https://alfalavalonline.sharepoint.com/sites/policiesandguidelines","https://alfalavalonline.sharepoint.com/sites/policiesandguidelines/SitePages/Frequently-questions-and-answers-to-Data-Privacy.aspx","No","","False","False"
