Already Exists,Success,SiteURL
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HalldorsTeamsite
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Collaborationtestsite
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ComfortFrance
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ComitMobilitFontanil
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CommunicationSites
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CommunicationsBUDEC
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CommunicationsManagement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CompablocTactonWorks
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ContosoFieldService
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CountThingsAlfaLaval
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/WHESalesguide
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CRM
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/cpo
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CumminsPECHE
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/customercare
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/WheNexonWarroom
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Dairy2
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DataCenterSemiConductor
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Decanter
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DelmonteAlrox
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DemoProjectPlan
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DemoRegister
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/densidstevirkedeikke
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Denholm
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/StaffHub2da06
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DesktopManagement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/SteamDigiLab
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DigitalVision
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CITPaaSTeam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DigitalWorkplaceforum
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/portalUAT-digitalization
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DivisionManagementTeam-Marine
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DivisionalCommunications
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DKKOSkypeTel
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DMaPortalTest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-dmauatfootertest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-dmauatprogram2019-10-08
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/dowegettheteamidpublic
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DOWPOplantturnaround2018
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DowDupont
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/dsa_restrictedaccessproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/dssa_restrictedaccessproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/dto_grp
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/DV-STVaveactivities
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/dvst_brochure_hfh
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Funnelsflexibles
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/E&SBUSeparation
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/eauctiontest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EDmngt
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EDNORTHEAST
FALSE,TRUE,https://alfalavalonline.sharepoint.com/Sites/eDiscoveryCenter
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Email&EndpointProtection
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/emailintegrationtosharepoint
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-emmytest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/portalUAT-emmytestingoct18
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EndeavourTo-do
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergyNordWest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergyPA
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergyDivisionCommunications
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ENERGYDIVISIONPROJECTS
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESCommissioningtraining
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergySeparation-MarketingPortfolioMgm
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESDECslop
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergySeparation-ApplicationProduct
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ES-Commissioningtraining
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ES-ServiceHSS
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ENSHSSEquipmentGlobalSales
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/entirelynewproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EquipmentTraceability
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESServiceHSS
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESDECcivildrilling
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESDECmining
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Esztertesting
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ExhibitionMasterDocuments
Not Found,TRUE,https://alfalavalonline.sharepoint.com/sites/ExhibitionsProtein
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ExternalWebHelp
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Extranet2
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FarewellAntonio
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Fazerextenso
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FDANavalgroup
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FIDec512
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FIDecMeatFish
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FIDecOH
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/service-fieldservice
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Fightingguide
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/RKLeninaGavrilov
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Financeplan
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FinancialForecastingtoolproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FleetAgreementVertom-Bojen
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FoodWater 
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FoodWaterComms
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FoodandWater
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FoodIndustryDecanters-FIDec
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FoodIndustryDecanters
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FIDec
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Forecastcustomerordermanagement-Caterpillar
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FramoFlatoyAS-Sharing
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Framotest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/OrcaCBT
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FresnoServiceCenter
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FresnoServiceCenterPlanning
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FWDZA
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FWGimprovementteam
Not Found,TRUE,https://alfalavalonline.sharepoint.com/sites/Reunindegerenciasmedias
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GFCAnalytics
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GILComes
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CargillGlobalTenderforHSSandDEC
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GlobalSvcAgreements-PureBallast
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GlobalSales
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_GlobalServiceprojectCustomerInsights
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GlobalServiceprojectPerformanceAgreement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/BUDSGlobalServiceTechnology
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalservice_grp
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_GlobalServiceprojectPerformanceAgreement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GPHECoreTeam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GPHEProcesssales
